Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
Argentina,ARG,"Population, total",SP.POP.TOTL,32618648,33079002,33529320,33970103,34402669,34828168,35246376,35657438,36063451,36467218,36870796,37275644,37681743,38087866,38491970,38892924,39289876,39684303,40080159,40482786,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.58E+11,6.44E+11,5.18E+11
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,4333.483372,5735.359981,6823.538837,6969.119729,7483.140334,7408.708664,7721.354105,8213.125127,8289.507568,7774.736203,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,11.91901458,12.08723019,12.25177861,12.41284289,12.57090463,12.72638406,12.87919932,13.0294034,13.17776255,13.325301,13.47277039,13.62070384,13.76909442,13.91749376,14.06515535,14.21166592,14.35671413,14.5008397,14.64548743,14.79260932,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020,7692020,7692020
Australia,AUS,"Population, total",SP.POP.TOTL,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,3.11E+11,3.25E+11,3.25E+11,3.12E+11,3.22E+11,3.67E+11,4.00E+11,4.35E+11,3.99E+11,3.89E+11,4.15E+11,3.78E+11,3.95E+11,4.66E+11,6.12E+11,6.93E+11,7.46E+11,8.53E+11,1.05E+12,9.28E+11,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,18211.50006,18821.79526,18570.12046,17634.53475,18046.13648,20319.63063,21861.32551,23468.59683,21318.96417,20533.03506,21679.24784,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419,3.24787091
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82580,82578,82578,82578,82571,82561,82554,82531,82523,82520,82520,82520,82520
Austria,AUT,"Population, total",SP.POP.TOTL,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1.66E+11,1.74E+11,1.95E+11,1.90E+11,2.04E+11,2.41E+11,2.37E+11,2.13E+11,2.18E+11,2.17E+11,1.97E+11,1.97E+11,2.13E+11,2.62E+11,3.01E+11,3.16E+11,3.36E+11,3.89E+11,4.30E+11,4.00E+11,3.92E+11,4.31E+11,4.09E+11,4.30E+11,4.42E+11,3.82E+11,3.96E+11,4.16E+11,4.55E+11
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27174.29716,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47309.36627,51453.14702
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.4563806,100.7713435,101.0356633,101.2874254,101.6417316,102.1148703,102.7471253,103.5633217,104.7345977,105.8733398,106.6113185,107.1318589
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,32820,32820,32820,32820,32820,32820,32820,32820,32820,32820,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280
Belgium,BEL,"Population, total",SP.POP.TOTL,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,2.05E+11,2.11E+11,2.35E+11,2.25E+11,2.45E+11,2.88E+11,2.79E+11,2.53E+11,2.59E+11,2.58E+11,2.36E+11,2.37E+11,2.57E+11,3.17E+11,3.69E+11,3.86E+11,4.08E+11,4.70E+11,5.15E+11,4.81E+11,4.81E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.02E+11,5.43E+11
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25244.27505,23041.53473,22995.15752,24887.56133,30587.66841,35364.37533,36795.97688,38672.70594,44262.896,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44089.31009,47554.74631
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,303.6983242,304.8289458,306.0681901,307.2661487,308.2145948,308.8607861,309.464869,310.2146557,310.8777575,311.5910725,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.6657199,377.3795905
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140
Brazil,BRA,"Population, total",SP.POP.TOTL,149003225,151648007,154259382,156849086,159432717,162019889,164614682,167209046,169785253,172318674,174790339,177196051,179537523,181809244,184006479,186127108,188167353,190130445,192030362,193886505,195713637,197514541,199287292,201035904,202763744,204471759,206163056,207833825,209469320
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,4.62E+11,6.03E+11,4.01E+11,4.38E+11,5.58E+11,7.69E+11,8.50E+11,8.83E+11,8.64E+11,5.99E+11,6.55E+11,5.59E+11,5.08E+11,5.58E+11,6.69E+11,8.92E+11,1.11E+12,1.40E+12,1.70E+12,1.67E+12,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12,1.92E+12
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3100.280427,3975.390194,2596.919842,2791.208982,3500.611468,4748.215734,5166.163933,5282.008638,5087.152131,3478.37275,3749.753271,3156.798771,2829.283145,3070.910524,3637.462429,4790.436959,5886.463682,7348.030716,8831.023117,8597.915485,11286.2429,13245.61203,12370.02445,12300.32482,12112.58767,8814.001418,8710.096774,9928.643063,9151.445253
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,17.82731864,18.14375052,18.45618547,18.76602761,19.07514315,19.38468236,19.69513337,20.00553305,20.31376036,20.61686859,20.91258809,21.20041672,21.48055943,21.75235686,22.01524251,22.26896271,22.51306547,22.74793734,22.97525071,23.1973268,23.41593189,23.63139897,23.84349772,24.05270838,24.2594338,24.46378728,24.66614055,24.86603778,25.06171469
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590
Canada,CAN,"Population, total",SP.POP.TOTL,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545295,37065178
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,5.94E+11,6.10E+11,5.92E+11,5.77E+11,5.78E+11,6.04E+11,6.29E+11,6.55E+11,6.34E+11,6.78E+11,7.45E+11,7.39E+11,7.61E+11,8.96E+11,1.03E+12,1.17E+12,1.32E+12,1.47E+12,1.55E+12,1.37E+12,1.62E+12,1.79E+12,1.83E+12,1.85E+12,1.81E+12,1.56E+12,1.53E+12,1.65E+12,1.72E+12
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.35644,46454.74339
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,3.088601866,3.127225314,3.164461458,3.199428482,3.234663084,3.268308165,3.302651359,3.335636361,3.363434308,3.390885151,3.42261134,3.459995605,3.497826579,3.529497557,3.562582608,3.596389418,3.632909156,3.66836148,3.708302298,3.750884772,3.792822224,3.830124732,3.871939493,3.913066959,3.952604904,3.982215114,4.027563942,4.076172901,4.13415938
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532
Chile,CHL,"Population, total",SP.POP.TOTL,13274617,13495255,13719818,13944934,14166346,14380864,14587367,14786227,14977736,15162801,15342350,15516112,15684413,15849649,16014972,16182713,16354507,16530201,16708255,16886184,17062531,17233584,17400359,17571511,17758969,17969356,18209072,18470435,18729166
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,33113887818,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70979923960,69736811435,75643459840,99210392858,1.23E+11,1.55E+11,1.74E+11,1.80E+11,1.72E+11,2.19E+11,2.52E+11,2.67E+11,2.78E+11,2.61E+11,2.44E+11,2.50E+11,2.77E+11,2.98E+11
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2494.526796,2803.562714,3350.214089,3535.17436,4024.215228,5107.277513,5349.805227,5745.371076,5446.579522,4957.777557,5074.902616,4574.594716,4446.249371,4772.563723,6194.85272,7598.528877,9464.548507,10502.35071,10751.4816,10208.90797,12808.03834,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,17.85345755,18.15020066,18.45222263,18.75498835,19.05277244,19.34128457,19.61901707,19.88647025,20.14403684,20.39293669,20.63441789,20.86811597,21.09446937,21.31670056,21.53904876,21.764649,21.99570025,22.23199674,22.47146727,22.71076968,22.94794441,23.17799906,23.4023001,23.63248791,23.88460618,24.16756239,24.48996412,24.84147959,25.18945519
Switzerland,CHE,Land area (sq. km),AG.LND.TOTL.K2,39529,39529,39529,39529,39529,39529,39528,39527,39526,39525,39524,39523,39522,39521,39520,39518,39517,39516,39516,39516,39516,39516,39516,39516,39516,39516.03,39516.03,39516.03,39516.03
Switzerland,CHE,"Population, total",SP.POP.TOTL,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,2.66E+11,2.69E+11,2.80E+11,2.72E+11,3.02E+11,3.53E+11,3.40E+11,2.95E+11,3.04E+11,2.99E+11,2.80E+11,2.87E+11,3.10E+11,3.63E+11,4.06E+11,4.21E+11,4.44E+11,4.94E+11,5.70E+11,5.58E+11,6.03E+11,7.22E+11,6.92E+11,7.13E+11,7.34E+11,7.02E+11,6.96E+11,7.04E+11,7.36E+11
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,39607.81909,39577.74875,40747.92546,39270.11413,43128.01411,50155.97413,48144.57913,41631.43886,42740.12818,41786.23414,38952.0342,39727.84667,42578.76314,49470.39713,54878.471,56546.78566,59300.61722,65359.51922,74572.23237,72083.1677,77117.12601,91254.03476,86547.67089,88109.48675,89684.70758,84776.14217,83073.28008,83352.08865,86429.50082
Switzerland,CHE,Population density (people per sq. km of land area),EN.POP.DNST,169.888411,172.0250449,173.9321511,175.5234132,176.9282046,178.1144729,178.9073568,179.3433855,179.8816222,180.7461354,181.7693047,182.9277636,184.3214665,185.6987677,186.9844383,188.1956324,189.385176,191.0901154,193.5336319,195.9669754,198.0187519,200.2327665,202.3702045,204.7106489,207.2236309,209.5958526,211.8972478,213.883834,215.4651922
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,9424670,9424670,9424670,9424670,9424670,9424720,9424710,9424710,9424710,9424710,9424700,9424700.2,9424700.2,9424699.7,9424700.5,9424699.8,9424700,9424700,9424700,9424700.5,9424700.7,9424700.9,9424700.9,9424701.3,9424701.3,9424701.4,9424700.5,9424700.8,9424702.9
China,CHN,"Population, total",SP.POP.TOTL,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,3.61E+11,3.83E+11,4.27E+11,4.45E+11,5.64E+11,7.35E+11,8.64E+11,9.62E+11,1.03E+12,1.09E+12,1.21E+12,1.34E+12,1.47E+12,1.66E+12,1.96E+12,2.29E+12,2.75E+12,3.55E+12,4.59E+12,5.10E+12,6.09E+12,7.55E+12,8.53E+12,9.57E+12,1.05E+13,1.11E+13,1.12E+13,1.23E+13,1.39E+13
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5618.132267,6316.918318,7050.646271,7678.599486,8066.942635,8147.937705,8879.438667,9976.677137
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,120.4482491,122.102949,123.608572,125.0377997,126.4590697,127.8398722,129.1869989,130.5159522,131.7743464,132.9202702,133.9719036,134.9485897,135.8557803,136.7046209,137.5189588,138.3301355,139.104693,139.8330981,140.5514234,141.252234,141.9360723,142.6177885,143.3143624,144.0236626,144.7547202,145.4921426,146.282102,147.1022825,147.7744195
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500
Colombia,COL,"Population, total",SP.POP.TOTL,33102569,33758328,34422568,35091272,35758978,36421438,37076387,37723803,38364307,38999468,39629965,40255956,40875363,41483872,42075953,42647731,43200901,43737512,44254972,44750054,45222699,45662747,46075721,46495492,46967706,47520667,48175048,48909844,49661056
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,47844090710,49175565911,58418985443,66446804803,81703500846,92507279383,97160109278,1.07E+11,98443739941,86186158685,99886577331,98211749596,97963003805,94641378693,1.17E+11,1.46E+11,1.62E+11,2.06E+11,2.42E+11,2.32E+11,2.87E+11,3.35E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.34E+11
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,1445.32863,1456.694357,1697.112936,1893.542212,2284.838813,2539.912877,2620.538762,2827.379527,2566.024194,2209.93165,2520.481089,2439.682456,2396.627127,2281.401762,2782.623185,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,29.83557368,30.42661379,31.02529788,31.62800541,32.22981343,32.8268932,33.41720324,34.00072375,34.57801442,35.15048941,35.7187607,36.28297071,36.84124651,37.38969986,37.92334655,38.43869401,38.93726994,39.42092114,39.8873114,40.33353222,40.75953042,41.15614872,41.52836503,41.90670753,42.33231726,42.83070482,43.42050293,44.08277963,44.75985219
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3119436,3202083,3286525,3372298,3458829,3545524,3632361,3718952,3803893,3885428,3962369,4034074,4100922,4164053,4225156,4285504,4345421,4404626,4463123,4520739,4577371,4633086,4688003,4742111,4795390,4847805,4899336,4949955,4999443
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,5711687787,7196276092,8564044017,9582866263,10486784805,11578594260,11678424512,12614602387,13684255950,14254866288,15013629665,15976174337,16578820687,17271760507,18610594846,20040642477,22715540324,26884700345,30801744881,30745712007,37658614803,42762617082,47231651865,50949672206,52016408951,56441917653,58847016045,60516043590,62335931464
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,1831.000151,2247.373379,2605.805225,2841.64278,3031.888771,3265.693381,3215.105688,3391.977736,3597.43451,3668.80207,3789.053888,3960.307703,4042.705686,4147.824369,4404.711884,4676.379366,5227.465952,6103.741917,6901.388306,6801.036735,8227.127494,9229.834517,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12468.57529
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,61.09353702,62.71216216,64.36594203,66.04578927,67.74048179,69.43838621,71.13907168,72.83493929,74.49849197,76.09533882,77.60221308,79.00654132,80.31574618,81.55215433,82.7488445,83.93074814,85.10421073,86.26372895,87.40938112,88.53777908,89.6469056,90.73807286,91.81361144,92.87330591,93.91676459,94.943302,95.95252644,96.94388954,97.91310223
Czech Republic,CZE,Land area (sq. km),AG.LND.TOTL.K2,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77260,77260,77250,77250,77250,77250,77240,77240,77230,77220,77220,77210,77220,77210,77200
